name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,bigChanceCreated,shotOffTarget,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,keyPass,challengeLost,blockedScoringAttempt,clearanceOffLine,outfielderBlock,totalContest,wonContest,bigChanceMissed,totalOffside,accurateCross,onTargetScoringAttempt,captain,team,teamType
Alejandro Rodríguez,Alejandro Rodríguez,,alejandro-rodriguez,A. Rodríguez,G,38,188.0,105,1098301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979257600.0,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رودريغيز', 'hi': 'ए. रोड्रिग्ज', 'bn': 'এ. রদ্রিগেজ'}}",38,False,10.0,9.0,4.0,3.0,0.0,1.0,1.0,1.0,90.0,13.0,7.0,1.0,"{'original': 7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home
Fabián Viáfara,,,fabian-viafara,F. Viáfara,D,27,167.0,35,588548,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,700704000.0,"{'value': 430000, 'currency': 'EUR'}",,27,False,38.0,32.0,2.0,1.0,0.0,,,,75.0,61.0,7.5,11.0,"{'original': 7.5, 'alternative': None}",2.0,1.0,1.0,4.0,6.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,Deportivo Cali,home
Juan Angulo,,,juan-angulo,J. Angulo,D,13,178.0,45,38170,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,591235200.0,"{'value': 46000, 'currency': 'EUR'}",,13,False,57.0,47.0,11.0,7.0,0.0,,,,75.0,62.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",,3.0,4.0,3.0,4.0,,,,3.0,1.0,,,,,,,,,,,,,,,True,Deportivo Cali,home
José Caldera,José Caldera,,jose-caldera,J. Caldera,D,12,185.0,41,1127886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1012780800.0,"{'value': 470000, 'currency': 'EUR'}",,12,False,54.0,43.0,16.0,8.0,0.0,,,,86.0,67.0,7.8,12.0,"{'original': 7.8, 'alternative': None}",,2.0,1.0,5.0,3.0,,,,4.0,3.0,2.0,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,Deportivo Cali,home
Yulián Gómez,,,yulian-gomez,Y. Gómez,D,26,170.0,30,891452,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,870652800.0,"{'value': 440000, 'currency': 'EUR'}",,26,False,39.0,32.0,4.0,1.0,0.0,,,,90.0,64.0,7.3,14.0,"{'original': 7.3, 'alternative': None}",3.0,1.0,1.0,4.0,4.0,,,1.0,1.0,,2.0,,2.0,3.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,Deportivo Cali,home
Jean Colorado,,,colorado-jean,J. Colorado,M,23,180.0,34,985106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,968630400.0,"{'value': 485000, 'currency': 'EUR'}",,23,False,35.0,29.0,2.0,1.0,0.0,,,,58.0,43.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,3.0,,7.0,3.0,1.0,,3.0,,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,Deportivo Cali,home
Yeison Gordillo,,,yeison-gordillo,Y. Gordillo,M,30,176.0,75,285429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709430400.0,"{'value': 310000, 'currency': 'EUR'}",,30,False,53.0,48.0,3.0,2.0,0.0,,,,90.0,62.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",1.0,2.0,,7.0,2.0,,1.0,,,2.0,1.0,1.0,4.0,2.0,,,,,1.0,,,,1.0,,,Deportivo Cali,home
Jarlan Barrera,,,jarlan-barrera,J. Barrera,M,7,171.0,286,796511,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,811209600.0,"{'value': 595000, 'currency': 'EUR'}",,7,False,55.0,43.0,6.0,4.0,0.0,,,,90.0,76.0,7.6,18.0,"{'original': 7.6, 'alternative': None}",6.0,1.0,1.0,2.0,4.0,1.0,,3.0,,,1.0,1.0,,2.0,,1.0,,,1.0,1.0,1.0,,4.0,,,Deportivo Cali,home
Javier Reina,,,javier-reina,J. Reina,M,10,173.0,58,590378,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,599875200.0,"{'value': 210000, 'currency': 'EUR'}",,10,False,60.0,49.0,7.0,4.0,0.0,,,,90.0,79.0,7.0,18.0,"{'original': 7, 'alternative': None}",4.0,,,6.0,5.0,3.0,,,2.0,1.0,2.0,2.0,2.0,,2.0,1.0,,,1.0,1.0,,,2.0,,,Deportivo Cali,home
Andrey Estupiñán,,,andrey-estupinan,A. Estupiñán,F,11,175.0,124,944462,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773366400.0,"{'value': 320000, 'currency': 'EUR'}",,11,False,30.0,25.0,2.0,1.0,0.0,,,,58.0,47.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",1.0,5.0,1.0,7.0,4.0,,,2.0,1.0,1.0,2.0,1.0,,1.0,,,,,2.0,,,,1.0,,,Deportivo Cali,home
Emiliano Rodriguez,,,rodriguez-emiliano,E. Rodriguez,F,9,190.0,366,1177548,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,1058313600.0,"{'value': 1300000, 'currency': 'EUR'}",,9,False,16.0,10.0,,,0.0,,,,90.0,29.0,6.7,14.0,"{'original': 6.7, 'alternative': None}",2.0,,1.0,,1.0,,,2.0,,,,,,1.0,,,,,,,1.0,1.0,,1.0,,Deportivo Cali,home
Gian Cabezas,Gian Cabezas,,gian-cabezas,G. Cabezas,M,28,178.0,43,1099301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1041379200.0,"{'value': 420000, 'currency': 'EUR'}",,28,True,19.0,17.0,1.0,,0.0,,,,32.0,25.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,,1.0,,,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,,Deportivo Cali,home
Juan Arango,Juan Arango,,juan-arango,J. Arango,F,17,,25,1616364,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1181952000.0,,,17,True,5.0,4.0,,,0.0,,,,32.0,8.0,6.3,4.0,"{'original': 6.3, 'alternative': None}",,,,4.0,,,,,,,,,2.0,,,,,,2.0,,,,,,,Deportivo Cali,home
Michael John Kamara,,,mj-kamara,M. Kamara,D,42,185.0,7,1890278,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1156982400.0,,,42,True,11.0,9.0,1.0,,0.0,,,,15.0,13.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,Deportivo Cali,home
Kleiton Cuellar,Kleiton Cuellar,,kleiton-cuellar,K. Cuellar,F,36,184.0,16,1385943,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077753600.0,,,36,True,5.0,5.0,,,0.0,,,,15.0,11.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,1.0,,2.0,1.0,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,Deportivo Cali,home
Cristian Graciano,,,graciano-cristian,C. Graciano,D,44,176.0,28,1476923,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1052784000.0,"{'value': 325000, 'currency': 'EUR'}",,44,True,8.0,6.0,1.0,1.0,0.0,,,,12.0,11.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,Deportivo Cali,home
Gastón Guruceaga,,,gaston-guruceaga,G. Guruceaga,G,22,190.0,73,589614,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,795225600.0,"{'value': 380000, 'currency': 'EUR'}",,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home
Jean Galindo,Jean Galindo,,jean-galindo,J. Galindo,,33,,19,1965572,{},EUR,,,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home
Rogerio Caicedo,,,rogerio-caicedo,R. Caicedo,G,1,187.0,3,942347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729993600.0,"{'value': 97000, 'currency': 'EUR'}",,1,False,30.0,16.0,26.0,12.0,0.0,,,1.0,90.0,33.0,6.9,14.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away
Andres Aedo,Andres Aedo,,aedo-andres,A. Aedo,M,6,183.0,8,1427849,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077494400.0,"{'value': 145000, 'currency': 'EUR'}",,6,False,16.0,9.0,5.0,1.0,0.0,,,,90.0,42.0,7.3,13.0,"{'original': 7.3, 'alternative': None}",,1.0,4.0,2.0,6.0,,,,9.0,1.0,2.0,,,,1.0,,,1.0,,,,,,,,Boyacá Chicó FC,away
Kevin Riascos,,,kevin-riascos,K. Riascos,D,2,188.0,16,986979,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,803692800.0,"{'value': 140000, 'currency': 'EUR'}",,2,False,22.0,11.0,8.0,2.0,0.0,,,,90.0,28.0,6.8,12.0,"{'original': 6.8, 'alternative': None}",,,1.0,,2.0,,,,3.0,,,1.0,,,,,,,,,,,,,,Boyacá Chicó FC,away
Juan Ojeda,,,juan-ojeda,J. Ojeda,D,30,188.0,9,822796,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,891648000.0,"{'value': 110000, 'currency': 'EUR'}",,30,False,12.0,7.0,3.0,3.0,0.0,,,,90.0,20.0,7.2,5.0,"{'original': 7.2, 'alternative': None}",,1.0,,2.0,1.0,,,,4.0,1.0,1.0,,1.0,,,,,2.0,,,,,,,,Boyacá Chicó FC,away
Jonathan Herrera,,,jonathan-herrera,J. Herrera,D,18,177.0,9,819185,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825120000.0,"{'value': 220000, 'currency': 'EUR'}",,18,False,19.0,11.0,7.0,3.0,0.0,,,,90.0,47.0,7.3,13.0,"{'original': 7.3, 'alternative': None}",1.0,1.0,,4.0,4.0,,,,5.0,2.0,3.0,1.0,3.0,,1.0,,,1.0,,,,,,,,Boyacá Chicó FC,away
Estefáno Arango,,,estefano-arango,E. Arango,M,24,170.0,35,819034,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758851200.0,"{'value': 195000, 'currency': 'EUR'}",,7,False,24.0,20.0,2.0,1.0,0.0,,,,72.0,44.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",,1.0,1.0,6.0,4.0,,,,4.0,1.0,,2.0,2.0,1.0,1.0,,,,3.0,1.0,,,,1.0,,Boyacá Chicó FC,away
Delio Ramírez,,,delio-ramirez,D. Ramírez,M,10,160.0,11,1015661,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975110400.0,"{'value': 53000, 'currency': 'EUR'}",,10,False,19.0,15.0,2.0,2.0,0.0,,,,72.0,31.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",,1.0,,6.0,2.0,,,,,,1.0,,2.0,1.0,,,,,4.0,1.0,,,,,,Boyacá Chicó FC,away
Frank Lozano,,,frank-lozano,F. Lozano,M,19,175.0,19,1015686,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745977600.0,"{'value': 340000, 'currency': 'EUR'}",,19,False,20.0,14.0,3.0,,0.0,,,,90.0,33.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",2.0,1.0,2.0,2.0,8.0,1.0,,,2.0,,4.0,2.0,,,,,,,,,,,,,True,Boyacá Chicó FC,away
Kevin Londoño,Kevin Londoño,,kevin-londono,K. Londoño,M,27,180.0,14,1100037,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963100800.0,"{'value': 440000, 'currency': 'EUR'}",,27,False,27.0,21.0,7.0,4.0,0.0,,,,87.0,40.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",1.0,,,1.0,2.0,,,,5.0,1.0,,2.0,,,,,,,1.0,,,,,,,Boyacá Chicó FC,away
Eduardo Banguero,,,eduardo-banguero,E. Banguero,D,22,177.0,14,963284,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981244800.0,"{'value': 410000, 'currency': 'EUR'}",,14,False,15.0,10.0,1.0,1.0,0.0,,,,72.0,31.0,6.3,18.0,"{'original': 6.3, 'alternative': None}",3.0,2.0,1.0,7.0,2.0,3.0,,1.0,,,,1.0,,1.0,,,,,2.0,,,,,,,Boyacá Chicó FC,away
Jairo Molina,,,jairo-molina,J. Molina,F,9,183.0,66,247931,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200.0,"{'value': 49000, 'currency': 'EUR'}",,9,False,13.0,7.0,,,0.0,,,,89.0,26.0,7.2,9.0,"{'original': 7.2, 'alternative': None}",,3.0,8.0,5.0,11.0,1.0,,1.0,2.0,,,3.0,1.0,1.0,,,,,,,,,,1.0,,Boyacá Chicó FC,away
Edgard Camargo,Edgard Camargo,,edgard-camargo,E. Camargo,M,28,181.0,29,1108692,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010102400.0,"{'value': 140000, 'currency': 'EUR'}",,28,True,3.0,3.0,,,0.0,,,,18.0,4.0,6.5,,"{'original': 6.5, 'alternative': None}",,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,Boyacá Chicó FC,away
Jacobo Pimentel,,,jacobo-pimentel,J. Pimentel,F,21,176.0,12,1017237,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010880000.0,"{'value': 140000, 'currency': 'EUR'}",,21,True,6.0,3.0,,,0.0,,,,18.0,12.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,,1.0,1.0,5.0,1.0,,,,,1.0,3.0,1.0,,,,,,,,,,,,,Boyacá Chicó FC,away
Ronald Valencia,Ronald Valencia,,ronald-valencia,R. Valencia,F,77,180.0,9,1154914,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983577600.0,"{'value': 135000, 'currency': 'EUR'}",,16,True,5.0,1.0,2.0,1.0,0.0,,,,18.0,16.0,7.0,8.0,"{'original': 7, 'alternative': None}",,,1.0,1.0,4.0,1.0,,,,1.0,1.0,,,,,1.0,,,2.0,2.0,,,,,,Boyacá Chicó FC,away
Arlen Banguero,Arlen Banguero,,arlen-banguero,A. Banguero,D,26,,3,2035889,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953856000.0,,,26,True,1.0,1.0,,,0.0,,,,11.0,4.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away
Sebastián Colón,Sebastián Colón,,sebastian-colon,S. Colón,F,29,177.0,28,1465840,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895881600.0,,,29,True,1.0,,,,0.0,,,,8.0,1.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away
Darío Denis,,,dario-denis,D. Denis,G,23,186.0,13,820358,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,692841600.0,"{'value': 105000, 'currency': 'EUR'}",,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away
Wilmar Arango,Wilmar Arango,,wilmar-arango,W. Arango,M,20,170.0,1,1174981,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,887328000.0,"{'value': 185000, 'currency': 'EUR'}",,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away
