name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,interceptionWon,totalTackle,fouls,keyPass,aerialWon,challengeLost,outfielderBlock,totalOffside,wasFouled,dispossessed,blockedScoringAttempt,totalContest,wonContest,onTargetScoringAttempt,goals,shotOffTarget,captain,team,teamType,fieldTranslations,goodHighClaim,errorLeadToAGoal
Ruben Escobar,,,ruben-escobar,R. Escobar,G,12,190.0,9,790107,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,665798400.0,"{'value': 55000, 'currency': 'EUR'}",12,False,15.0,10.0,8.0,3.0,0.0,2.0,1.0,2.0,90.0,23.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,
Neymar Uribe,Neymar Uribe,,neymar-uribe,N. Uribe,D,27,172.0,32,1977622,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073606400.0,"{'value': 280000, 'currency': 'EUR'}",27,False,26.0,19.0,8.0,5.0,0.0,,,,90.0,48.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,Envigado FC,home,,,
Jhon Gamboa,,,jhon-gamboa,J. Gamboa,D,28,194.0,4,1414723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985046400.0,"{'value': 230000, 'currency': 'EUR'}",28,False,43.0,31.0,11.0,3.0,0.0,,,,90.0,47.0,6.5,13.0,"{'original': 6.5, 'alternative': None}",,,,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,Envigado FC,home,,,
Carlos Ramirez,,,carlos-ramirez,C. Ramirez,D,29,182.0,68,1130277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,578448000.0,"{'value': 54000, 'currency': 'EUR'}",29,False,50.0,41.0,11.0,4.0,0.0,,,,90.0,54.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",1.0,,,,2.0,,,,,1.0,,,,1.0,,,,,,,,True,Envigado FC,home,,,
Juan Holguin,,,juan-holguin,J. Holguin,D,3,,10,1939490,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1104796800.0,,3,False,39.0,30.0,5.0,1.0,0.0,1.0,,,90.0,60.0,6.3,17.0,"{'original': 6.3, 'alternative': None}",2.0,,2.0,5.0,,,,1.0,1.0,,,,,,2.0,1.0,,,,,,,Envigado FC,home,,,
Luis Díaz,Luis Díaz,,luis-diaz,L. Díaz,M,34,,83,1219046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080086400.0,,34,False,17.0,15.0,,,0.0,2.0,,,83.0,27.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",1.0,,1.0,3.0,2.0,,,,1.0,2.0,1.0,,,,,2.0,1.0,,,,,,Envigado FC,home,,,
Edison López,,,edison-lopez,E. López,M,21,178.0,8,941672,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940377600.0,"{'value': 185000, 'currency': 'EUR'}",21,False,53.0,46.0,6.0,6.0,0.0,1.0,,,89.0,64.0,7.9,9.0,"{'original': 7.9, 'alternative': None}",1.0,1.0,1.0,5.0,1.0,3.0,,3.0,2.0,,1.0,,,,,,1.0,1.0,2.0,1.0,,,Envigado FC,home,,,
Johan Hinestroza,Johan Hinestroza,,johan-hinestroza,J. Hinestroza,M,14,176.0,11,1106571,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1016064000.0,"{'value': 205000, 'currency': 'EUR'}",14,False,24.0,22.0,3.0,3.0,0.0,,,,56.0,27.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,1.0,2.0,,1.0,1.0,,,,,,1.0,,,,,,,,,Envigado FC,home,,,
Didier Dawson,Didier Dawson,,didier-dawson,D. Dawson,M,7,173.0,46,2048967,"{'alpha2': 'PA', 'alpha3': 'PAN', 'name': 'Panama', 'slug': 'panama'}",EUR,1128902400.0,"{'value': 81000, 'currency': 'EUR'}",7,False,16.0,13.0,2.0,1.0,0.0,1.0,,,56.0,24.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",,,,,4.0,,1.0,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,,Envigado FC,home,,,
Bayron Garcés,,,bayron-garces,B. Garcés,F,11,175.0,148,1017019,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,738720000.0,"{'value': 320000, 'currency': 'EUR'}",11,False,16.0,14.0,,,0.0,,,,83.0,26.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,,1.0,2.0,3.0,,1.0,,,,,,,1.0,,,2.0,1.0,,,2.0,,Envigado FC,home,,,
Daniel Arcila,Daniel Arcila,,daniel-arcila,D. Arcila,M,26,,37,1113526,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021507200.0,,26,False,38.0,36.0,,,0.0,1.0,,,90.0,52.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",4.0,,,2.0,3.0,,,,3.0,1.0,,,,2.0,2.0,,,,,,2.0,,Envigado FC,home,,,
Julián Palacios,Julián Palacio,,julian-palacios,J. Palacios,D,6,179.0,39,1113527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1060214400.0,"{'value': 760000, 'currency': 'EUR'}",6,True,18.0,15.0,,,0.0,,,,34.0,21.0,6.3,4.0,"{'original': 6.3, 'alternative': None}",,,,2.0,,2.0,,1.0,,,1.0,,,,,,,,,,,,Envigado FC,home,,,
Carlos Torres,Carlos Torres,,carlos-torres,C. Torres,F,30,,109,1116061,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1035072000.0,"{'value': 320000, 'currency': 'EUR'}",80,True,5.0,4.0,1.0,,0.0,,,,34.0,9.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",1.0,,,,2.0,,,,,1.0,,,,1.0,,,,,,,2.0,,Envigado FC,home,,,
Miguel Marulanda,Miguel Marulanda,,miguel-marulanda,M. Marulanda,M,17,,8,2072991,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,38,True,2.0,1.0,,,0.0,,,,14.0,3.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,,1.0,,1.0,,,,,,,,,,,,,,,,Envigado FC,home,,,
Nilzo Ramírez,,,nilzo-ramirez,N. Ramírez,M,16,170.0,20,1831399,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1115078400.0,,16,True,7.0,6.0,,,0.0,,,,14.0,7.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,
Geindry Cuervo,Geindry Cuervo,,geindry-cuervo,G. Cuervo,D,15,,19,1465455,{},EUR,998352000.0,,15,True,,,,,0.0,,,,1.0,2.0,,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,Envigado FC,home,,,
Andrés Tovar,Andrés Tovar,,andres-tovar,A. Tovar,G,88,188.0,64,1388644,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1143244800.0,"{'value': 320000, 'currency': 'EUR'}",88,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,
Didier Palacios,Didier Palacios,,didier-palacios,D. Palacios,D,2,185.0,29,1647753,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1086220800.0,"{'value': 390000, 'currency': 'EUR'}",2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,
Jorge Soto,,,jorge-soto,J. Soto,G,12,187.0,147,819127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,744249600.0,"{'value': 410000, 'currency': 'EUR'}",12,False,30.0,17.0,21.0,8.0,0.0,1.0,2.0,,90.0,38.0,6.7,13.0,"{'original': 6.7, 'alternative': None}",,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,América de Cali,away,,1.0,
Yerson Candelo,,,yerson-candelo,Y. Candelo,D,92,172.0,144,158593,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698889600.0,"{'value': 525000, 'currency': 'EUR'}",92,False,35.0,30.0,8.0,7.0,0.0,1.0,,,90.0,56.0,7.0,13.0,"{'original': 7, 'alternative': None}",2.0,,,2.0,4.0,,2.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,1.0,,América de Cali,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. كانديلو', 'hi': 'वाई. कैंडेलो', 'bn': 'ওয়াই. ক্যান্ডেলো'}}",,
Jean Carlos Pestaña,,,jean-carlos-pestana,J. C. Pestaña,D,24,186.0,73,882658,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872467200.0,"{'value': 825000, 'currency': 'EUR'}",24,False,42.0,35.0,9.0,6.0,0.0,5.0,,,90.0,51.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",1.0,,1.0,2.0,1.0,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,América de Cali,away,,,
Brayan Medina,,,medina-brayan,B. Medina,D,23,195.0,106,1187281,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015200000.0,"{'value': 910000, 'currency': 'EUR'}",23,False,37.0,30.0,7.0,3.0,0.0,8.0,,,90.0,53.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",,,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,1.0,,1.0,1.0,,,1.0,,América de Cali,away,,,1.0
Marcos Mina,,,marcos-mina,M. Mina,D,14,163.0,80,1098198,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923875200.0,"{'value': 580000, 'currency': 'EUR'}",14,False,19.0,14.0,2.0,2.0,0.0,2.0,,,67.0,32.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",1.0,,2.0,6.0,1.0,2.0,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,América de Cali,away,,,
Cristian Barrios,,,cristian-barrios,C. Barrios,M,7,163.0,267,910158,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895536000.0,"{'value': 1200000, 'currency': 'EUR'}",7,False,27.0,21.0,1.0,1.0,1.0,,,,90.0,36.0,7.2,10.0,"{'original': 7.2, 'alternative': None}",2.0,,,4.0,5.0,,,4.0,2.0,1.0,,,,3.0,,,2.0,1.0,,,,,América de Cali,away,,,
Rafael Carrascal,,,rafael-carrascal,R. Carrascal,M,15,173.0,256,818936,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,722736000.0,"{'value': 325000, 'currency': 'EUR'}",15,False,29.0,27.0,6.0,6.0,0.0,2.0,,,85.0,35.0,7.2,2.0,"{'original': 7.2, 'alternative': None}",1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,1.0,,América de Cali,away,,,
José Cavadia,,,cavadia,J. Cavadia,M,29,177.0,70,2034583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1127260800.0,"{'value': 310000, 'currency': 'EUR'}",29,False,31.0,30.0,2.0,2.0,0.0,,,,58.0,35.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,América de Cali,away,,,
Duván Vergara,,,duvan-vergara,D. Vergara,M,11,173.0,932,819149,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200.0,"{'value': 2900000, 'currency': 'EUR'}",11,False,21.0,14.0,2.0,1.0,0.0,,,,90.0,37.0,7.9,10.0,"{'original': 7.9, 'alternative': None}",3.0,2.0,,,6.0,1.0,,1.0,,1.0,,,,3.0,,1.0,2.0,2.0,2.0,1.0,1.0,True,América de Cali,away,,,
Juan Fernando Quintero,,,juan-quintero,J. F. Quintero,M,8,168.0,9629,221162,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727315200.0,"{'value': 2600000, 'currency': 'EUR'}",8,False,20.0,15.0,3.0,3.0,0.0,,,,24.0,24.0,4.7,8.0,"{'original': 4.7, 'alternative': None}",3.0,,,,,,,,,,,,,,,,,,,,1.0,,América de Cali,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. كوينتيرو', 'hi': 'जुआन क्विंटेरो', 'bn': 'জুয়ান কুইন্টেরো'}}",,
Luis Ramos,,,luis-ramos,L. Ramos,F,9,175.0,1211,984107,"{'alpha2': 'PE', 'alpha3': 'PER', 'name': 'Peru', 'slug': 'peru'}",EUR,945043200.0,"{'value': 730000, 'currency': 'EUR'}",9,False,12.0,11.0,1.0,1.0,0.0,,,,45.0,16.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,1.0,2.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,América de Cali,away,,,
Sebastián Navarro,,,sebastian-navarro,S. Navarro,M,21,186.0,123,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200.0,"{'value': 840000, 'currency': 'EUR'}",21,True,10.0,8.0,,,0.0,,,,45.0,11.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,,1.0,,,,,1.0,,,,,,,,,,,,,América de Cali,away,,,
Luis Alejandro Paz,,,luis-alejandro-paz,L. A. Paz,M,19,175.0,44,827787,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,589680000.0,"{'value': 47000, 'currency': 'EUR'}",19,True,10.0,9.0,,,0.0,,,,32.0,11.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,1.0,,América de Cali,away,,,
Omar Bertel,,,omar-bertel,O. Bertel,D,31,175.0,79,875914,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200.0,"{'value': 565000, 'currency': 'EUR'}",31,True,6.0,3.0,2.0,,0.0,,,,23.0,9.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,,América de Cali,away,,,
Luis Gómez,,,luis-gomez,L. Gómez,F,16,173.0,74,958592,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,939600000.0,"{'value': 490000, 'currency': 'EUR'}",16,True,1.0,,,,0.0,,,,12.0,2.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,1.0,,,,,,,,,,,,,,,,,América de Cali,away,,,
Santiago Silva,,,silva-santiago,S. Silva,G,27,190.0,101,1002740,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,926380800.0,"{'value': 570000, 'currency': 'EUR'}",27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'S. I. S. Azambuja'}}",,
Andrés Mosquera,,,andres-mosquera,A. Mosquera,D,4,178.0,86,47724,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,635472000.0,"{'value': 470000, 'currency': 'EUR'}",4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,
Joel Romero,Joel Romero,,joel-romero,J. Romero,M,33,174.0,27,2037820,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1149120000.0,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,
