name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,blockedScoringAttempt,outfielderBlock,goals,keyPass,accurateCross,hitWoodwork,penaltyWon,captain,team,teamType,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded,totalOffside
Salvador Ichazo,salvador-ichazo,S. Ichazo,G,1,185.0,63,158605,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,696384000.0,"{'value': 360000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. إشازو', 'hi': 'एस. इचाज़ो', 'bn': 'এস. ইচাজো'}}",,,1,False,31.0,26.0,9.0,5.0,0.0,2.0,2.0,90.0,39.0,7.2,5.0,"{'original': 7.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,,,,
Walmer Pacheco,walmer-pacheco,W. Pacheco,D,21,172.0,52,819169,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,790214400.0,"{'value': 700000, 'currency': 'EUR'}",,,,21,False,50.0,44.0,5.0,3.0,0.0,,,90.0,80.0,7.5,10.0,"{'original': 7.5, 'alternative': None}",1.0,4.0,1.0,8.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,,,,,,,,,Deportivo Pereira,home,,,,
José Moya,jose-moya,J. Moya,D,3,184.0,24,285501,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,713145600.0,"{'value': 410000, 'currency': 'EUR'}",,,,3,False,54.0,44.0,12.0,4.0,0.0,,,90.0,66.0,7.5,11.0,"{'original': 7.5, 'alternative': None}",,,1.0,3.0,2.0,1.0,,2.0,1.0,1.0,,3.0,1.0,,,1.0,1.0,4.0,,,,,,,Deportivo Pereira,home,,,,
Jhostin Medranda,jhostin-medranda,J. Medranda,D,,186.0,15,1130645,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,997228800.0,"{'value': 270000, 'currency': 'EUR'}",,Jhostin Medranda,,24,False,57.0,47.0,12.0,5.0,0.0,,,90.0,68.0,7.5,11.0,"{'original': 7.5, 'alternative': None}",,,,1.0,4.0,,,2.0,2.0,,,2.0,1.0,2.0,,1.0,,2.0,,,,,,,Deportivo Pereira,home,,,,
Jeison Suárez,jeison-suarez,J. Suárez,D,26,174.0,33,819096,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,868320000.0,"{'value': 500000, 'currency': 'EUR'}",,,,26,False,35.0,31.0,7.0,4.0,0.0,,,90.0,52.0,8.7,9.0,"{'original': 8.7, 'alternative': None}",3.0,1.0,,3.0,,1.0,1.0,,,,2.0,6.0,,,,,1.0,1.0,2.0,1.0,,,,,Deportivo Pereira,home,,,,
Jorge Bermúdez,jorge-bermudez,J. Bermúdez,M,5,166.0,12,1016202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981331200.0,"{'value': 360000, 'currency': 'EUR'}",,,,5,False,51.0,45.0,1.0,1.0,0.0,,,90.0,60.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",1.0,,1.0,3.0,2.0,3.0,,,,,,5.0,,1.0,,,,,,1.0,,,,,Deportivo Pereira,home,,,,
Kelvin Osorio,kelvin-osorio,K. Osorio,M,33,181.0,29,818997,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,751852800.0,"{'value': 465000, 'currency': 'EUR'}",,,,33,False,52.0,47.0,3.0,2.0,0.0,,,90.0,56.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",,,1.0,,2.0,,,,,,,1.0,1.0,,1.0,,,,,3.0,,,,,Deportivo Pereira,home,,,,
Yuber Quiñones,yuber-quinones,Y. Quiñones,M,13,173.0,96,1111115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1034035200.0,"{'value': 385000, 'currency': 'EUR'}",,Yuber Quiñones,,13,False,11.0,11.0,,,0.0,,,41.0,17.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",1.0,,,2.0,2.0,,,,,2.0,,,,,2.0,2.0,,,,1.0,1.0,1.0,,,Deportivo Pereira,home,,,,
Darwin Quintero,darwin-quintero,D. Quintero,F,7,166.0,706,787564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,559008000.0,"{'value': 90000, 'currency': 'EUR'}",,,,7,False,6.0,6.0,,,0.0,,,9.0,7.0,6.8,,"{'original': 6.8, 'alternative': None}",,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,True,Deportivo Pereira,home,,,,
Felipe Mosquera,felipe-mosquera,F. Mosquera,F,77,174.0,24,1173951,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023235200.0,"{'value': 240000, 'currency': 'EUR'}",,Felipe Mosquera,,77,False,15.0,13.0,,,0.0,,,70.0,18.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",2.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,Deportivo Pereira,home,,,,
Rubilio Castillo,rubilio-castillo,R. Castillo,F,99,183.0,175,797168,"{'alpha2': 'HN', 'alpha3': 'HND', 'name': 'Honduras', 'slug': 'honduras'}",EUR,691113600.0,"{'value': 235000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. كاستيلو', 'hi': 'आर. कैस्टिलो', 'bn': 'আর. ক্যাস্টিলো'}}",,,99,False,4.0,3.0,2.0,1.0,1.0,,,45.0,11.0,7.4,3.0,"{'original': 7.4, 'alternative': None}",,2.0,,3.0,3.0,1.0,,,,,,1.0,,1.0,2.0,,,,,2.0,,,1.0,,Deportivo Pereira,home,,,,
Gianfranco Peña,gianfranco-pena,G. Peña,F,9,190.0,35,1174786,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963273600.0,"{'value': 195000, 'currency': 'EUR'}",,Gianfranco Peña,,9,True,19.0,15.0,,,0.0,,,81.0,26.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,4.0,4.0,8.0,7.0,1.0,,,,,,1.0,,1.0,2.0,4.0,,,,,,,,,Deportivo Pereira,home,,,,
Eduar Arízalas,eduar-arizalas,E. Arízalas,M,22,,7,1478209,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1006646400.0,"{'value': 52000, 'currency': 'EUR'}",,Eduar Arízalas,,22,True,26.0,23.0,1.0,1.0,0.0,,,49.0,42.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",2.0,1.0,,6.0,5.0,,1.0,5.0,2.0,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,Deportivo Pereira,home,,,,
Nicolas Rengifo,nicolas-rengifo,N. Rengifo,,35,,7,1643444,{},EUR,,,,Nicolas Rengifo,,35,True,14.0,14.0,,,0.0,,,45.0,18.0,6.7,,"{'original': 6.7, 'alternative': None}",,1.0,,2.0,1.0,,,1.0,1.0,1.0,,2.0,,,,1.0,,,,,,,,,Deportivo Pereira,home,,,,
Juan Ramírez,juan-ramirez,J. Ramírez,,19,,4,2063964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,Juan Ramírez,,32,True,4.0,3.0,,,0.0,,,20.0,7.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,Deportivo Pereira,home,,,,
Franklin Mosquera,franklin-mosquera,F. Mosquera,G,12,,3,1184666,{},EUR,,,,Franklin Mosquera,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,,,,
Julián Bazán,julian-bazan,J. Bazán,D,34,183.0,66,1485232,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1132876800.0,"{'value': 240000, 'currency': 'EUR'}",,,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,,,,
Jhon Largacha,jhon-largacha,J. Largacha,M,11,167.0,59,1478310,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1074729600.0,"{'value': 185000, 'currency': 'EUR'}",,Jhon Largacha,,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,,,,
Andrés Tovar,andres-tovar,A. Tovar,G,88,188.0,64,1388644,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1143244800.0,"{'value': 320000, 'currency': 'EUR'}",,Andrés Tovar,,88,False,14.0,13.0,2.0,2.0,0.0,1.0,1.0,90.0,18.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,Envigado FC,away,1.0,1.0,,
Neymar Uribe,neymar-uribe,N. Uribe,D,27,172.0,32,1977622,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073606400.0,"{'value': 280000, 'currency': 'EUR'}",,Neymar Uribe,,27,False,25.0,19.0,1.0,1.0,0.0,,,79.0,39.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",2.0,,,2.0,4.0,,,3.0,2.0,1.0,,1.0,1.0,,2.0,1.0,,,,1.0,1.0,,,,Envigado FC,away,,,,
Jhon Gamboa,jhon-gamboa,J. Gamboa,D,28,194.0,4,1414723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985046400.0,"{'value': 230000, 'currency': 'EUR'}",,,,28,False,33.0,30.0,4.0,2.0,0.0,,,90.0,41.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,1.0,2.0,2.0,4.0,,,,,,,4.0,,,2.0,1.0,,1.0,,,,,,,Envigado FC,away,,,,
Carlos Ramirez,carlos-ramirez,C. Ramirez,D,29,182.0,68,1130277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,578448000.0,"{'value': 54000, 'currency': 'EUR'}",,,,29,False,66.0,58.0,9.0,5.0,0.0,,,90.0,76.0,6.3,9.0,"{'original': 6.3, 'alternative': None}",1.0,2.0,4.0,4.0,4.0,,,,,,,4.0,,,,2.0,3.0,1.0,,,,,,True,Envigado FC,away,,,1.0,
Juan Holguin,juan-holguin,J. Holguin,D,3,,10,1939490,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1104796800.0,,,,,3,False,40.0,33.0,3.0,1.0,0.0,,,90.0,65.0,6.4,15.0,"{'original': 6.4, 'alternative': None}",2.0,1.0,,7.0,4.0,,1.0,3.0,1.0,,,,1.0,1.0,2.0,3.0,2.0,,,1.0,,,,,Envigado FC,away,,,,1.0
Daniel Arcila,daniel-arcila,D. Arcila,M,26,,37,1113526,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021507200.0,,,Daniel Arcila,,26,False,46.0,35.0,2.0,,0.0,,,90.0,63.0,7.3,16.0,"{'original': 7.3, 'alternative': None}",4.0,,,3.0,4.0,3.0,,2.0,2.0,,,,1.0,1.0,1.0,,,,,3.0,2.0,,,,Envigado FC,away,,,,
Julián Palacios,julian-palacios,J. Palacios,D,6,179.0,39,1113527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1060214400.0,"{'value': 760000, 'currency': 'EUR'}",,Julián Palacio,,6,False,34.0,31.0,4.0,2.0,0.0,,,90.0,37.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,1.0,1.0,2.0,,,1.0,,,,,,1.0,,,,,,2.0,,,,,Envigado FC,away,,,,
Johan Hinestroza,johan-hinestroza,J. Hinestroza,M,14,176.0,11,1106571,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1016064000.0,"{'value': 205000, 'currency': 'EUR'}",,Johan Hinestroza,,14,False,25.0,20.0,2.0,1.0,0.0,,,60.0,30.0,6.3,7.0,"{'original': 6.3, 'alternative': None}",,1.0,1.0,4.0,2.0,,,2.0,,1.0,,,,1.0,,1.0,,,,,,,,,Envigado FC,away,,,,
Luis Díaz,luis-diaz,L. Díaz,M,34,,83,1219046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080086400.0,,,Luis Díaz,,34,False,18.0,10.0,1.0,1.0,0.0,,,90.0,38.0,7.5,13.0,"{'original': 7.5, 'alternative': None}",2.0,3.0,7.0,6.0,12.0,1.0,1.0,3.0,3.0,,2.0,2.0,2.0,,2.0,1.0,,,,1.0,1.0,,,,Envigado FC,away,,,,
Edison López,edison-lopez,E. López,M,21,178.0,8,941672,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940377600.0,"{'value': 185000, 'currency': 'EUR'}",,,,21,False,13.0,13.0,,,0.0,,,45.0,20.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",3.0,,,,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,,Envigado FC,away,,,,
Bayron Garcés,bayron-garces,B. Garcés,F,11,175.0,148,1017019,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,738720000.0,"{'value': 320000, 'currency': 'EUR'}",,,,11,False,9.0,9.0,,,0.0,,,89.0,14.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,1.0,1.0,1.0,,,,1.0,,,,,1.0,,2.0,,,,,,,,Envigado FC,away,,,,
John Araujo,john-araujo,J. Araujo,F,70,172.0,12,1157709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026950400.0,,,Jhon Araujo,,70,True,5.0,5.0,,,0.0,,,45.0,11.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",1.0,,,3.0,1.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,Envigado FC,away,,,,
Geindry Cuervo,geindry-cuervo,G. Cuervo,D,15,,19,1465455,{},EUR,998352000.0,,,Geindry Cuervo,,15,True,19.0,17.0,2.0,1.0,0.0,,,30.0,26.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",1.0,,,2.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,Envigado FC,away,,,,
Didier Dawson,didier-dawson,D. Dawson,M,7,173.0,46,2048967,"{'alpha2': 'PA', 'alpha3': 'PAN', 'name': 'Panama', 'slug': 'panama'}",EUR,1128902400.0,"{'value': 81000, 'currency': 'EUR'}",,Didier Dawson,,7,True,2.0,1.0,,,0.0,,,11.0,4.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,Envigado FC,away,,,,
Sebastián Chacón,sebastian-chacon,S. Chacón,M,25,,7,2048969,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,Sebastián Chacón,,25,True,,,,,0.0,,,1.0,2.0,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,Envigado FC,away,,,,
Ruben Escobar,ruben-escobar,R. Escobar,G,12,190.0,9,790107,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,665798400.0,"{'value': 55000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,,,
Didier Palacios,didier-palacios,D. Palacios,D,2,185.0,29,1647753,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1086220800.0,"{'value': 390000, 'currency': 'EUR'}",,Didier Palacios,,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,,,
Emanuel Londoño,emanuel-londono,E. Londoño,,33,,9,2063961,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,Emanuel Londoño,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,,,
