name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,totalContest,shotOffTarget,interceptionWon,totalTackle,keyPass,dispossessed,wasFouled,outfielderBlock,challengeLost,wonContest,accurateCross,fouls,onTargetScoringAttempt,goals,totalOffside,blockedScoringAttempt,bigChanceCreated,captain,team,teamType,hitWoodwork
Santiago Mele,santiago-mele,S. Mele,G,25,182.0,610,846421,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,873504000,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. ميلي', 'hi': 'एस. मेले', 'bn': 'এস. মেলে'}}",,,77,False,27.0,20.0,11.0,4.0,0.0,2.0,2.0,2.0,3.0,6.0,1.0,90.0,41.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,
Yeferson Moreno,yeferson-moreno-mosquera,Y. Moreno,D,15,184.0,52,1441785,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1074211200,"{'value': 190000, 'currency': 'EUR'}",,Yeferson Moreno,,15,False,46.0,34.0,5.0,1.0,0.0,1.0,2.0,4.0,,,,90.0,70.0,6.5,22.0,"{'original': 6.5, 'alternative': None}",2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,Junior Barranquilla,home,
José Cuenú,jose-cuenu,J. Cuenú,D,4,192.0,28,1098309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792979200,"{'value': 495000, 'currency': 'EUR'}",,José Cuenú,,4,False,44.0,36.0,6.0,1.0,0.0,1.0,5.0,5.0,,,,90.0,61.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",,,1.0,,,3.0,3.0,,1.0,1.0,,,,,,,,,,,,Junior Barranquilla,home,
Daniel Rivera,daniel-rivera,D. Rivera,D,5,184.0,54,1174986,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,920160000,"{'value': 775000, 'currency': 'EUR'}",,Daniel Rivera,,33,False,62.0,53.0,18.0,10.0,0.0,1.0,2.0,6.0,,,,90.0,73.0,6.6,12.0,"{'original': 6.6, 'alternative': None}",1.0,4.0,5.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,Junior Barranquilla,home,
Jhomier Guerrero,jhomier-guerrero,J. Guerrero,D,34,170.0,48,1441809,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985478400,"{'value': 485000, 'currency': 'EUR'}",,Jhomier Guerrero,,34,False,36.0,26.0,4.0,1.0,0.0,,7.0,3.0,,,,90.0,64.0,6.7,20.0,"{'original': 6.7, 'alternative': None}",2.0,1.0,6.0,6.0,,,3.0,1.0,2.0,,1.0,1.0,4.0,,,,,,,,,Junior Barranquilla,home,
Yimmi Chará,yimmi-chara,Y. Chará,M,8,169.0,400,248069,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,670550400,"{'value': 410000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. شارا', 'hi': 'वाई. चरा', 'bn': 'ওয়াই. চারা'}}",,,8,False,30.0,26.0,1.0,1.0,1.0,1.0,4.0,2.0,,,,84.0,46.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",5.0,1.0,3.0,,,,2.0,1.0,,1.0,,,,2.0,2.0,,,,,,,Junior Barranquilla,home,
Fabián Ángel,fabian-angel,F. Ángel,M,80,175.0,136,878536,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979084800,"{'value': 390000, 'currency': 'EUR'}",,,,80,False,33.0,30.0,2.0,2.0,0.0,,2.0,,,,,64.0,46.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",1.0,2.0,8.0,4.0,,1.0,,,,,3.0,1.0,2.0,1.0,3.0,,,,,,,Junior Barranquilla,home,
Didier Moreno,didier-moreno,D. Moreno,M,6,177.0,120,158585,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684892800,"{'value': 520000, 'currency': 'EUR'}",,,,6,False,62.0,56.0,8.0,7.0,0.0,1.0,5.0,3.0,,,,90.0,74.0,7.3,7.0,"{'original': 7.3, 'alternative': None}",,2.0,4.0,1.0,,2.0,2.0,,,1.0,,2.0,1.0,,,,,,,,,Junior Barranquilla,home,
Déiber Caicedo,deiber-caicedo,D. Caicedo,M,20,169.0,315,906010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953942400,"{'value': 1500000, 'currency': 'EUR'}",,,,20,False,21.0,19.0,,,0.0,,,,,,,64.0,21.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,Junior Barranquilla,home,
Carlos Bacca,carlos-bacca,C. Bacca,F,70,181.0,2209,106572,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,526521600,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. باكا', 'hi': 'सी. बक्का', 'bn': 'সি. বাক্কা'}}",,,70,False,8.0,6.0,,,0.0,1.0,1.0,,,,,76.0,13.0,7.0,6.0,"{'original': 7, 'alternative': None}",1.0,,2.0,2.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,True,Junior Barranquilla,home,
Guillermo Paiva,guillermo-paiva,G. Paiva,F,9,182.0,391,891851,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,871776000,"{'value': 850000, 'currency': 'EUR'}",,,,9,False,8.0,5.0,2.0,2.0,0.0,,4.0,,,,,64.0,19.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",,1.0,5.0,1.0,,,2.0,,2.0,1.0,,1.0,1.0,,2.0,2.0,,,,,,Junior Barranquilla,home,
Leider Berdugo,leider-berdugo,L. Berdugo,M,33,176.0,47,1106565,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1014076800,"{'value': 385000, 'currency': 'EUR'}",,Leider Berdugo,,29,True,22.0,17.0,1.0,1.0,0.0,1.0,5.0,,,,,26.0,29.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,,2.0,,,,1.0,,1.0,3.0,,,,,1.0,,,,,,,Junior Barranquilla,home,
Steven Rodríguez,steven-rodriguez,S. Rodríguez,F,23,177.0,169,974308,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,908236800,"{'value': 460000, 'currency': 'EUR'}",,,,23,True,3.0,3.0,,,0.0,,2.0,,,,,26.0,9.0,7.3,2.0,"{'original': 7.3, 'alternative': None}",,,,2.0,,,,,,,,,2.0,,,1.0,1.0,,1.0,,,Junior Barranquilla,home,
Bryan Castrillón,bryan-castrillon,B. Castrillón,F,88,169.0,161,954761,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922752000,"{'value': 485000, 'currency': 'EUR'}",,,,88,True,11.0,8.0,1.0,1.0,0.0,,,,,,,26.0,15.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",2.0,,2.0,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,Junior Barranquilla,home,
José Enamorado,enamorado-jose,J. Enamorado,M,99,167.0,231,974558,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,916185600,"{'value': 1900000, 'currency': 'EUR'}",,,,99,True,3.0,2.0,,,1.0,,1.0,,,,,14.0,8.0,7.3,4.0,"{'original': 7.3, 'alternative': None}",3.0,,1.0,1.0,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,Junior Barranquilla,home,
Miller Bacca,miller-bacca,M. Bacca,F,22,,51,1461241,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1067126400,"{'value': 180000, 'currency': 'EUR'}",,,,22,True,2.0,2.0,,,0.0,,,,,,,12.0,3.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,,1.0,,,,,,,,,,,,,,,,,Junior Barranquilla,home,
Jefersson Martínez,jefferson-martinez,J. Martínez,G,30,185.0,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200,"{'value': 365000, 'currency': 'EUR'}",,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,
Yani Quintero,yani-quintero,Yani Quintero,M,16,182.0,57,1000298,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013904000,"{'value': 425000, 'currency': 'EUR'}",,,,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,
Geovanni Banguera,geovanni-banguera,G. Banguera,G,12,187.0,22,823233,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,818985600,"{'value': 385000, 'currency': 'EUR'}",,,,12,False,18.0,8.0,16.0,7.0,0.0,,1.0,,2.0,2.0,,90.0,25.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",,,,,,,1.0,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,
Dylan Lozano,dylan-lozano,D. Lozano,D,26,,9,1139988,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026691200,"{'value': 270000, 'currency': 'EUR'}",,Dylan Lozano,,26,False,22.0,17.0,,,0.0,1.0,4.0,2.0,,,,90.0,43.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",,1.0,1.0,,,,3.0,2.0,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,
Diego Hernández,diego-hernandez,D. Hernández,D,5,190.0,24,980391,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,957398400,"{'value': 370000, 'currency': 'EUR'}",,,,5,False,24.0,19.0,6.0,4.0,0.0,,2.0,4.0,,,,90.0,33.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,1.0,1.0,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,Rionegro Águilas Doradas,away,
Sebastián Rodríguez,sebastian-rodriguez,S. Rodríguez,D,2,185.0,11,931697,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975801600,"{'value': 245000, 'currency': 'EUR'}",,,,2,False,34.0,25.0,9.0,5.0,0.0,,1.0,2.0,,,,90.0,41.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",,1.0,4.0,,,,1.0,,,,1.0,2.0,,,1.0,1.0,,,,,,Rionegro Águilas Doradas,away,
Javier Alexander Mena,mena-javier-alexander,J. A. Mena,D,32,,8,1544743,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1102032000,,,,,32,False,27.0,14.0,4.0,,0.0,3.0,4.0,,,,,90.0,46.0,6.2,20.0,"{'original': 6.2, 'alternative': None}",,2.0,5.0,,,,,,,1.0,,3.0,,,,,,,,,,Rionegro Águilas Doradas,away,
Jaen Pineda,jaen-pineda,J. Pineda,M,16,180.0,51,935690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400,"{'value': 620000, 'currency': 'EUR'}",,,,16,False,54.0,51.0,14.0,13.0,0.0,2.0,8.0,3.0,,,,86.0,79.0,8.7,8.0,"{'original': 8.7, 'alternative': None}",2.0,,4.0,2.0,2.0,1.0,2.0,4.0,1.0,3.0,,,1.0,,2.0,2.0,1.0,,2.0,,,Rionegro Águilas Doradas,away,
Guillermo Celis,guillermo-celis,G. Celis,M,28,177.0,89,329583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,736819200,"{'value': 470000, 'currency': 'EUR'}",,,,28,False,45.0,41.0,2.0,1.0,0.0,,4.0,2.0,,,,90.0,59.0,7.5,6.0,"{'original': 7.5, 'alternative': None}",,,5.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,,3.0,1.0,1.0,,,,True,Rionegro Águilas Doradas,away,
Auli Oliveros,auli-oliveros,A. Oliveros,M,33,175.0,43,1015631,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996624000,"{'value': 230000, 'currency': 'EUR'}",,,,33,False,14.0,11.0,1.0,,0.0,,,,,,,45.0,23.0,6.3,10.0,"{'original': 6.3, 'alternative': None}",3.0,1.0,2.0,1.0,,,,,,,,,,1.0,,,,,,,,Rionegro Águilas Doradas,away,
Jhojan Escobar,jhojan-escobar,J. Escobar,D,6,175.0,4,1174885,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,947894400,"{'value': 140000, 'currency': 'EUR'}",,Jhojan Escobar,,6,False,14.0,10.0,,,0.0,2.0,5.0,,,,,81.0,25.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,4.0,3.0,2.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,,Rionegro Águilas Doradas,away,
Cristian Borja,borja-cristian,C. Martínez,F,,184.0,114,312194,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,567993600,"{'value': 105000, 'currency': 'EUR'}",,,,17,False,34.0,22.0,1.0,,0.0,2.0,3.0,1.0,,,,86.0,46.0,6.9,18.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,5.0,2.0,,,,3.0,2.0,,,,1.0,,1.0,,,1.0,1.0,,,Rionegro Águilas Doradas,away,
Johan Caballero,johan-caballero,J. Caballero,F,23,185.0,31,925252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895190400,"{'value': 340000, 'currency': 'EUR'}",,,,23,False,33.0,31.0,6.0,4.0,1.0,1.0,5.0,,,,,74.0,50.0,7.8,9.0,"{'original': 7.8, 'alternative': None}",4.0,,3.0,1.0,,,1.0,3.0,2.0,2.0,,1.0,1.0,1.0,,2.0,,,,,,Rionegro Águilas Doradas,away,
Antony Vásquez,antony-vasquez,A. Vásquez,F,9,178.0,25,1139960,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1025308800,,,Antony Vásquez,,9,True,12.0,8.0,1.0,1.0,0.0,3.0,4.0,,,,,45.0,17.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,,2.0,,1.0,,1.0,1.0,1.0,,,1.0,,,,1.0,,,1.0,,,Rionegro Águilas Doradas,away,
Juan Ávalo,juan-avalo,J. Ávalo,M,24,178.0,2,1173947,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1001808000,,,Juan Ávalo,,24,True,7.0,7.0,,,0.0,,,,,,,16.0,12.0,6.3,3.0,"{'original': 6.3, 'alternative': None}",,1.0,4.0,1.0,,,,1.0,2.0,,,,,,,,,,,,,Rionegro Águilas Doradas,away,
David Lemos,david-lemos,D. Lemos,F,47,175.0,20,830005,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,799632000,"{'value': 280000, 'currency': 'EUR'}",,,,47,True,2.0,,,,0.0,,,1.0,,,,9.0,5.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,,,,1.0,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,1.0
Felipe Aguilar,felipe-aguilar,F. Aguilar,D,3,190.0,171,329577,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727488000,"{'value': 310000, 'currency': 'EUR'}",,,,3,True,,,,,0.0,,,,,,,10.0,1.0,6.2,,"{'original': 6.2, 'alternative': None}",,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,Rionegro Águilas Doradas,away,
Harrinson Mancilla,harrinson-mancilla,H. Mancilla,M,27,174.0,27,869952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693360000,"{'value': 49000, 'currency': 'EUR'}",,,,27,True,2.0,1.0,,,0.0,,2.0,1.0,,,,10.0,6.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,
Sebastián Guerra,sebastian-guerra,S. Guerra,G,34,183.0,33,931709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978912000,"{'value': 52000, 'currency': 'EUR'}",,,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,
Nicolás Lara,nicolas-lara,N. Lara,D,30,184.0,16,1173828,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045958400,"{'value': 160000, 'currency': 'EUR'}",,Nicolás Lara,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,
