name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,challengeLost,dispossessed,totalContest,shotOffTarget,blockedScoringAttempt,fouls,possessionLostCtrl,keyPass,aerialLost,outfielderBlock,interceptionWon,totalTackle,wonContest,onTargetScoringAttempt,goals,totalOffside,captain,team,teamType,hitWoodwork
David Ospina,,,david-ospina,D. Ospina,G,1,183.0,5709,33596,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800.0,"{'value': 655000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. أوسبينا', 'hi': 'डी. ओस्पिना', 'bn': 'ডি. ওসপিনা'}}",1,False,31.0,31.0,4.0,4.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,90.0,39.0,7.3,"{'original': 7.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,True,Atlético Nacional,home,
Joan Castro,,,joan-castro,J. Castro,D,20,176.0,119,819186,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600.0,"{'value': 680000, 'currency': 'EUR'}",,20,False,34.0,28.0,,,1.0,3.0,3.0,,,,,,90.0,60.0,6.9,"{'original': 6.9, 'alternative': None}",6.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,14.0,1.0,,,,,,,,,,Atlético Nacional,home,
Juan Arias,,,arias-juan,J. Arias,D,23,184.0,73,1187272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073520000.0,,,23,False,26.0,24.0,2.0,2.0,0.0,3.0,3.0,1.0,,,,,45.0,35.0,7.0,"{'original': 7, 'alternative': None}",,,,2.0,,,,,,1.0,2.0,,1.0,1.0,1.0,2.0,,,,,,Atlético Nacional,home,
William Tesillo,,,william-tesillo,W. Tesillo,D,16,184.0,317,794087,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,633916800.0,"{'value': 520000, 'currency': 'EUR'}",,16,False,82.0,73.0,7.0,6.0,0.0,5.0,2.0,2.0,,,,,90.0,95.0,7.7,"{'original': 7.7, 'alternative': None}",1.0,,,3.0,,,1.0,,,2.0,11.0,1.0,1.0,,2.0,2.0,1.0,1.0,,,,Atlético Nacional,home,
Andrés Salazar,Andrés Salazar,,andres-salazar,A. Salazar,D,17,182.0,251,1174790,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042588800.0,"{'value': 580000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. سالازار', 'hi': 'ए. सालाज़ार', 'bn': 'এ. সালাজার'}}",17,False,27.0,23.0,2.0,2.0,0.0,4.0,3.0,1.0,,,,,72.0,45.0,7.0,"{'original': 7, 'alternative': None}",1.0,,1.0,2.0,1.0,,,1.0,,,5.0,,1.0,,1.0,2.0,,,,,,Atlético Nacional,home,
Jorman Campuzano,,,jorman-campuzano,J. Campuzano,M,21,175.0,706,924420,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830822400.0,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. كامبوزانو', 'hi': 'जे. कैम्पुज़ानो', 'bn': 'জে. ক্যাম্পুজানো'}}",21,False,93.0,86.0,5.0,4.0,0.0,6.0,,1.0,,,,,90.0,104.0,7.5,"{'original': 7.5, 'alternative': None}",1.0,1.0,,4.0,1.0,,1.0,,,3.0,9.0,2.0,,,1.0,4.0,1.0,,,,,Atlético Nacional,home,
Marino Hinestroza,,,marino-hinestroza,M. Hinestroza,M,18,170.0,3082,972587,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026086400.0,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. هينستروزا', 'hi': 'एम. हिनेस्ट्रोज़ा', 'bn': 'এম. হিনেস্ট্রোজা'}}",18,False,11.0,9.0,,,0.0,1.0,,1.0,,,,,45.0,19.0,6.5,"{'original': 6.5, 'alternative': None}",2.0,,,2.0,,1.0,1.0,,,,7.0,,,,,,,,,,,Atlético Nacional,home,
Edwin Cardona,,,edwin-cardona,E. Cardona,M,10,183.0,2260,153793,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,723772800.0,"{'value': 960000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. كاردونا', 'hi': 'ई. कार्डोना', 'bn': 'ই. কার্ডোনা'}}",10,False,37.0,29.0,2.0,1.0,0.0,1.0,,1.0,,,,,45.0,43.0,6.9,"{'original': 6.9, 'alternative': None}",2.0,1.0,,1.0,,,,,,1.0,11.0,2.0,,,,,,,,,,Atlético Nacional,home,
Billy Arce,,,billy-arce,B. Arce,M,11,177.0,503,868746,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,900201600.0,"{'value': 680000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ب. ارس'}}",11,False,42.0,33.0,3.0,,0.0,4.0,,2.0,,,,,66.0,56.0,6.7,"{'original': 6.7, 'alternative': None}",4.0,,1.0,4.0,1.0,2.0,,1.0,1.0,2.0,18.0,2.0,,,,1.0,,,,,,Atlético Nacional,home,
Dairon Asprilla,,,dairon-asprilla,D. Asprilla,F,27,178.0,283,790161,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706752000.0,"{'value': 720000, 'currency': 'EUR'}",,27,False,24.0,18.0,,,0.0,4.0,,1.0,,,,,90.0,42.0,8.0,"{'original': 8, 'alternative': None}",3.0,2.0,2.0,4.0,,1.0,2.0,2.0,,2.0,12.0,,,,1.0,,1.0,4.0,1.0,,,Atlético Nacional,home,
Kevin Viveros,,,kevin-viveros,K. Viveros,F,19,180.0,692,925124,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954806400.0,"{'value': 1400000, 'currency': 'EUR'}",,19,False,10.0,8.0,,,0.0,1.0,,1.0,,,,,90.0,18.0,6.6,"{'original': 6.6, 'alternative': None}",,,,3.0,,2.0,1.0,1.0,1.0,,6.0,1.0,,,,,,,,1.0,,Atlético Nacional,home,
Simon Garcia,Simon Garcia,,garcia-simon,S. Garcia,D,28,186.0,154,1602863,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1105401600.0,"{'value': 235000, 'currency': 'EUR'}",,28,True,30.0,27.0,1.0,,0.0,,,,,,,,45.0,33.0,6.6,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,,,,4.0,,1.0,,1.0,,,,,,,Atlético Nacional,home,
Andrés Sarmiento,,,andres-sarmiento,A. Sarmiento,M,29,170.0,200,842663,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,884822400.0,"{'value': 720000, 'currency': 'EUR'}",,29,True,20.0,14.0,,,0.0,2.0,,1.0,,,,,45.0,29.0,7.0,"{'original': 7, 'alternative': None}",4.0,,1.0,1.0,,,,2.0,,1.0,12.0,1.0,,,,,,,,,,Atlético Nacional,home,
Kilian Toscano,Kilian Toscano,,kilian-toscano,K. Toscano,M,5,180.0,110,1185985,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1078185600.0,"{'value': 330000, 'currency': 'EUR'}",,5,True,24.0,19.0,1.0,,0.0,2.0,,,,,,,45.0,27.0,6.8,"{'original': 6.8, 'alternative': None}",,,,2.0,,,,,,2.0,6.0,1.0,,,,2.0,,,,,,Atlético Nacional,home,
Faber Andrés Gil,,,faber-andres-gil,F. A. Gil,M,7,178.0,148,831377,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796003200.0,"{'value': 665000, 'currency': 'EUR'}",,7,True,6.0,4.0,1.0,,0.0,1.0,,1.0,,,,,24.0,10.0,6.4,"{'original': 6.4, 'alternative': None}",,,,2.0,,,1.0,,,1.0,3.0,,,,,,,,,1.0,,Atlético Nacional,home,
Camilo Cándido,,,camilo-candido,C. Cándido,D,13,174.0,281,924073,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,802051200.0,"{'value': 1100000, 'currency': 'EUR'}",,13,True,6.0,5.0,2.0,2.0,0.0,,,,,,,,18.0,10.0,6.5,"{'original': 6.5, 'alternative': None}",,,,1.0,,1.0,,,1.0,,2.0,,,,,,,,,,,Atlético Nacional,home,
Harlen Castillo,,,harlen-castillo,H. Castillo,G,15,188.0,130,924907,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600.0,"{'value': 330000, 'currency': 'EUR'}",,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,
Kevin Parra,Kevin Parra,,kevin-parra,K. Parra,M,30,165.0,152,1185972,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045872000.0,"{'value': 620000, 'currency': 'EUR'}",,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,
Eduar Beltrán,Eduar Esteban,Beltrán Restrepo,eduar-esteban,E. Beltrán,G,1,,16,1175066,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,951004800.0,"{'value': 185000, 'currency': 'EUR'}",,1,False,29.0,14.0,20.0,5.0,0.0,,2.0,,1.0,4.0,1.0,1.0,90.0,39.0,6.7,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,15.0,,,,,,,,,,,Unión Magdalena,away,
David Murillo,,,david-murillo,D. Murillo,D,4,178.0,14,805277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600.0,"{'value': 97000, 'currency': 'EUR'}",,4,False,15.0,12.0,1.0,1.0,0.0,2.0,3.0,,,,,,90.0,27.0,6.7,"{'original': 6.7, 'alternative': None}",,,,2.0,1.0,,,,,,4.0,,1.0,,1.0,2.0,,,,,,Unión Magdalena,away,
Rafael Pérez,,,rafael-perez,R. Pérez,D,2,186.0,86,355846,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,631843200.0,"{'value': 375000, 'currency': 'EUR'}",,2,False,14.0,9.0,4.0,1.0,0.0,3.0,7.0,2.0,,,,,90.0,27.0,6.9,"{'original': 6.9, 'alternative': None}",,,,1.0,,,1.0,,,1.0,5.0,,,2.0,1.0,,1.0,,,,True,Unión Magdalena,away,
Óscar Vanegas,,,oscar-vanegas,Ó. Vanegas,D,33,185.0,28,1015630,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831427200.0,"{'value': 290000, 'currency': 'EUR'}",,33,False,14.0,7.0,3.0,,0.0,1.0,19.0,,,,,,90.0,35.0,6.7,"{'original': 6.7, 'alternative': None}",,,,3.0,,,,,,3.0,7.0,,,,,1.0,,,,,,Unión Magdalena,away,
Dairon Mosquera,,,dairon-mosquera,D. Mosquera,D,30,182.0,31,834223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709257600.0,"{'value': 245000, 'currency': 'EUR'}",,30,False,20.0,12.0,6.0,1.0,0.0,3.0,7.0,1.0,,,,,90.0,41.0,6.7,"{'original': 6.7, 'alternative': None}",,,,3.0,,1.0,1.0,,,,12.0,,2.0,,1.0,1.0,1.0,,,1.0,,Unión Magdalena,away,
Orles Aragón,,,orles-aragon,O. Aragón,F,11,180.0,6,930209,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866246400.0,"{'value': 190000, 'currency': 'EUR'}",,11,False,3.0,2.0,1.0,,0.0,2.0,1.0,,,,,,66.0,13.0,6.5,"{'original': 6.5, 'alternative': None}",,,,4.0,,1.0,2.0,,,1.0,6.0,,1.0,,,1.0,1.0,,,,,Unión Magdalena,away,1.0
Cristian Sención,,,cristian-sencion,C. Sención,M,16,179.0,20,877404,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,822787200.0,"{'value': 290000, 'currency': 'EUR'}",,16,False,18.0,14.0,2.0,1.0,0.0,7.0,3.0,3.0,,,,,90.0,34.0,6.8,"{'original': 6.8, 'alternative': None}",2.0,,,4.0,1.0,,1.0,,,1.0,7.0,,1.0,,2.0,4.0,,,,,,Unión Magdalena,away,
Juan Diego Giraldo,,,juan-diego-giraldo,J. D. Giraldo,M,20,179.0,4,873789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869356800.0,"{'value': 185000, 'currency': 'EUR'}",,20,False,16.0,12.0,3.0,1.0,0.0,2.0,,1.0,,,,,74.0,23.0,6.5,"{'original': 6.5, 'alternative': None}",,,,6.0,,2.0,,,,4.0,6.0,,,1.0,1.0,1.0,,,,,,Unión Magdalena,away,
Ruyery Blanco,,,ruyery-blanco,R. Blanco,F,17,180.0,31,974049,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,912988800.0,"{'value': 230000, 'currency': 'EUR'}",,17,False,11.0,8.0,1.0,,0.0,10.0,2.0,5.0,,,,,90.0,33.0,7.0,"{'original': 7, 'alternative': None}",,,2.0,5.0,,1.0,1.0,,1.0,1.0,9.0,,2.0,1.0,,3.0,,1.0,,,,Unión Magdalena,away,
Jannenson Sarmiento,,,jannenson-sarmiento,J. Sarmiento,M,10,179.0,110,1466270,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800.0,"{'value': 480000, 'currency': 'EUR'}",,10,False,25.0,17.0,3.0,1.0,0.0,2.0,,,,,,,90.0,31.0,6.6,"{'original': 6.6, 'alternative': None}",2.0,,1.0,3.0,1.0,1.0,1.0,1.0,,,11.0,1.0,1.0,,,,1.0,,,1.0,,Unión Magdalena,away,
Ricardo Márquez,,,ricardo-marquez,R. Márquez,F,21,187.0,117,974046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600.0,"{'value': 245000, 'currency': 'EUR'}",,21,False,8.0,5.0,2.0,1.0,0.0,4.0,3.0,3.0,,,,,74.0,27.0,6.6,"{'original': 6.6, 'alternative': None}",,,1.0,4.0,,1.0,1.0,,,2.0,10.0,,,,,,,,,,,Unión Magdalena,away,
José Mercado,José Mercado,,jose-mercado,J. Mercado,M,28,,21,1201151,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1061424000.0,"{'value': 165000, 'currency': 'EUR'}",,28,True,8.0,6.0,,,0.0,1.0,,,,,,,24.0,14.0,6.4,"{'original': 6.4, 'alternative': None}",,,,1.0,,,1.0,,,,4.0,,,,,1.0,,1.0,,,,Unión Magdalena,away,
Juan José Tello,Juan José Tello,,juan-jose-tello,J. J. Tello,D,26,,11,1108713,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021593600.0,,,26,True,1.0,1.0,,,0.0,,,,,,,,16.0,1.0,6.3,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,
Óscar Barreto,,,oscar-barreto,Ó. Barreto,M,22,173.0,37,840530,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200.0,"{'value': 245000, 'currency': 'EUR'}",,22,True,8.0,7.0,,,0.0,,,,,,,,16.0,11.0,6.4,"{'original': 6.4, 'alternative': None}",1.0,1.0,,2.0,,,1.0,,,1.0,2.0,1.0,,,,,,,,,,Unión Magdalena,away,
Guillermo Gómez,Guillermo Gómez,,guillermo-gomez,G. Gómez,G,34,187.0,6,1174006,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835920000.0,"{'value': 105000, 'currency': 'EUR'}",,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,
Dilan Ortiz,Dilan Ortiz,,dilan-ortiz,D. Ortiz,D,6,,5,1388142,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1055548800.0,,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,
Freddy Molina,,,molina-freddy,F. Molina,D,18,,5,1512008,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,,,,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,
Valentin Sanchez,Valentin Sanchez,,valentin-sanchez,V. Sanchez,M,8,,4,1390760,{},EUR,1012867200.0,,,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,
