name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalTackle,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,challengeLost,dispossessed,interceptionWon,aerialLost,shotOffTarget,onTargetScoringAttempt,totalClearance,fouls,keyPass,blockedScoringAttempt,outfielderBlock,wasFouled,accurateCross,totalContest,errorLeadToAGoal,wonContest,totalOffside,goals,captain,team,teamType,savedShotsFromInsideTheBox,saves,punches
Cristopher Fiermarín,,,cristopher-fiermarin,C. Fiermarín,G,22,189.0,104,881111,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883612800.0,"{'value': 1400000, 'currency': 'EUR'}",,22,False,21.0,10.0,16.0,5.0,0.0,1.0,1.0,90.0,24.0,6.2,11.0,"{'original': 6.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,,
Yhorman Hurtado,,,hurtado-yhorman,Y. Hurtado,D,26,170.0,31,1100500,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,850521600.0,"{'value': 535000, 'currency': 'EUR'}",,26,False,64.0,55.0,12.0,8.0,0.0,5.0,4.0,90.0,86.0,7.0,15.0,"{'original': 7, 'alternative': None}",4.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,Deportes Tolima,home,,,
Julián Quiñones,,,julian-quinones,J. Quiñones,D,3,198.0,32,125910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,626227200.0,"{'value': 160000, 'currency': 'EUR'}",,3,False,44.0,38.0,9.0,4.0,0.0,3.0,,90.0,48.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,3.0,4.0,,,,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,True,Deportes Tolima,home,,,
Jhon Quiñónes,Jhon Quiñónes,,jhon-quinones,J. Quiñónes,D,4,188.0,13,1494091,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1082073600.0,,,4,False,64.0,54.0,11.0,4.0,0.0,5.0,3.0,90.0,75.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",,1.0,,,,,,1.0,,4.0,,,1.0,1.0,1.0,,,,,,,,Deportes Tolima,home,,,
Samuel Velásquez,Samuel Velásquez,,samuel-velasquez,S. Velásquez,D,33,174.0,130,1185987,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1054166400.0,"{'value': 770000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ص. فيلاسكيز', 'hi': 'एस. वेलास्केज़', 'bn': 'এস. ভেলাস্কেজ'}}",33,False,39.0,31.0,4.0,1.0,0.0,2.0,2.0,90.0,64.0,6.3,19.0,"{'original': 6.3, 'alternative': None}",5.0,,3.0,,1.0,1.0,,1.0,,2.0,,,,,,1.0,2.0,1.0,,,,,Deportes Tolima,home,,,
Juan Pablo Nieto,,,juan-pablo-nieto,J. P. Nieto,M,15,178.0,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400.0,"{'value': 470000, 'currency': 'EUR'}",,15,False,45.0,43.0,7.0,6.0,0.0,4.0,2.0,79.0,56.0,7.0,7.0,"{'original': 7, 'alternative': None}",2.0,1.0,4.0,2.0,1.0,,,1.0,,,,1.0,,1.0,,,2.0,,1.0,1.0,,,Deportes Tolima,home,,,
Brayan Rovira,,,brayan-rovira,B. Rovira,M,80,177.0,90,818941,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,849484800.0,"{'value': 640000, 'currency': 'EUR'}",,80,False,62.0,60.0,5.0,4.0,0.0,3.0,2.0,90.0,77.0,8.1,7.0,"{'original': 8.1, 'alternative': None}",5.0,,3.0,,1.0,1.0,,,1.0,1.0,2.0,4.0,,,1.0,3.0,,,,,1.0,,Deportes Tolima,home,,,
Kevin Pérez,,,kevin-perez,K. Pérez,M,18,170.0,40,991859,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869184000.0,"{'value': 605000, 'currency': 'EUR'}",,18,False,30.0,25.0,,,0.0,2.0,1.0,73.0,43.0,8.3,12.0,"{'original': 8.3, 'alternative': None}",2.0,1.0,4.0,,1.0,,1.0,1.0,2.0,,,1.0,1.0,,,,2.0,,,,2.0,,Deportes Tolima,home,,,
Andrés Arroyo,,,andres-arroyo,A. Arroyo,M,25,171.0,136,978706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011484800.0,"{'value': 370000, 'currency': 'EUR'}",,25,False,41.0,36.0,2.0,1.0,1.0,2.0,,73.0,51.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",2.0,,8.0,1.0,2.0,,4.0,,,,1.0,3.0,1.0,,2.0,2.0,,,,,,,Deportes Tolima,home,,,
Alex Castro,,,alex-castro,A. Castro,M,23,170.0,75,818930,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,763084800.0,"{'value': 535000, 'currency': 'EUR'}",,23,False,39.0,29.0,2.0,,0.0,3.0,,87.0,55.0,6.6,18.0,"{'original': 6.6, 'alternative': None}",4.0,,2.0,,1.0,,,,,1.0,1.0,1.0,,,2.0,1.0,2.0,,1.0,,,,Deportes Tolima,home,,,
Adrián Parra,,,adrian-parra,A. Parra,F,24,178.0,85,830255,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853372800.0,"{'value': 535000, 'currency': 'EUR'}",,24,False,21.0,19.0,2.0,2.0,0.0,4.0,,79.0,30.0,7.0,3.0,"{'original': 7, 'alternative': None}",,1.0,5.0,,,1.0,5.0,1.0,,1.0,,,2.0,,3.0,,,,,,,,Deportes Tolima,home,,,
Jersson González,,,jersson-gonzalez,J. González,M,7,172.0,89,1014824,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1000512000.0,"{'value': 955000, 'currency': 'EUR'}",,7,True,10.0,8.0,,,0.0,1.0,,17.0,13.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,2.0,,,,1.0,,,,,,,,,,2.0,,1.0,,,,Deportes Tolima,home,,,
Jader Quinones,Jader Quiñónes,,quinones-jader,J. Quiñónes,M,42,170.0,107,1129437,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976579200.0,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. جادر', 'hi': 'जे. क्विनोन', 'bn': 'জে. কুইনস'}}",42,True,14.0,13.0,,,0.0,1.0,,17.0,22.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,,3.0,,,1.0,1.0,,,,1.0,,,,,,2.0,,1.0,,,,Deportes Tolima,home,,,
Fabián Mosquera,,,fabian-mosquera,F. Mosquera,M,19,177.0,13,870084,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794188800.0,"{'value': 235000, 'currency': 'EUR'}",,19,True,13.0,13.0,,,0.0,,,11.0,15.0,6.7,,"{'original': 6.7, 'alternative': None}",,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,Deportes Tolima,home,,,
Gonzalo Lencina,,,gonzalo-lencina,G. Lencina,F,11,178.0,503,974691,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,877132800.0,"{'value': 825000, 'currency': 'EUR'}",,11,True,2.0,2.0,,,0.0,1.0,,11.0,4.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,1.0,,,,,,,,Deportes Tolima,home,,,
Luis Miranda,,,luis-miranda,L. Miranda,F,28,180.0,33,891115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872640000.0,"{'value': 290000, 'currency': 'EUR'}",,28,True,2.0,2.0,,,0.0,1.0,,9.0,3.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,1.0,,,,,,,,Deportes Tolima,home,,,
John Azcarate,John Azcarate,,john-azcarate,J. Azcarate,G,12,,4,1618635,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,,
Victor Reyes,Victor Reyes,,victor-reyes,V. Reyes,M,16,174.0,5,2038229,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1170288000.0,,,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,,
Guillermo Gómez,Guillermo Gómez,,guillermo-gomez,G. Gómez,G,34,187.0,6,1174006,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835920000.0,"{'value': 105000, 'currency': 'EUR'}",,34,False,31.0,16.0,19.0,4.0,0.0,1.0,,90.0,37.0,5.8,15.0,"{'original': 5.8, 'alternative': None}",,1.0,,,,,,,,2.0,,,,,,,,,,,,,Unión Magdalena,away,1.0,1.0,2.0
David Murillo,,,david-murillo,D. Murillo,D,4,178.0,14,805277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600.0,"{'value': 97000, 'currency': 'EUR'}",,4,False,24.0,19.0,,,0.0,2.0,2.0,81.0,40.0,6.4,8.0,"{'original': 6.4, 'alternative': None}",,,2.0,,,2.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,Unión Magdalena,away,,,
Jesus Peñaloza,José Peñaloza,,jose-penaloza,J. Peñaloza,,25,,5,2142544,{},EUR,1217548800.0,,,25,False,10.0,5.0,4.0,1.0,0.0,1.0,1.0,45.0,17.0,6.4,5.0,"{'original': 6.4, 'alternative': None}",,,2.0,,,,1.0,,,4.0,1.0,,,1.0,,,,,,,,,Unión Magdalena,away,,,
Óscar Vanegas,,,oscar-vanegas,Ó. Vanegas,D,33,185.0,28,1015630,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831427200.0,"{'value': 290000, 'currency': 'EUR'}",,33,False,27.0,24.0,3.0,1.0,0.0,4.0,,90.0,34.0,6.3,4.0,"{'original': 6.3, 'alternative': None}",,4.0,2.0,,,,1.0,,,5.0,1.0,,,1.0,,,,,,,,,Unión Magdalena,away,,,
Martín Payares,,,martin-payares,M. Payares,D,5,183.0,14,818989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796262400.0,"{'value': 410000, 'currency': 'EUR'}",,5,False,37.0,24.0,10.0,4.0,0.0,9.0,3.0,90.0,51.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",,5.0,3.0,,,,1.0,,,6.0,2.0,,,3.0,1.0,,,,,,,,Unión Magdalena,away,,,
Dairon Mosquera,,,dairon-mosquera,D. Mosquera,D,30,182.0,31,834223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709257600.0,"{'value': 245000, 'currency': 'EUR'}",,30,False,25.0,22.0,6.0,5.0,0.0,3.0,2.0,90.0,47.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,,4.0,,1.0,2.0,2.0,,,6.0,1.0,,,,,,1.0,,1.0,,,,Unión Magdalena,away,,,
Jannenson Sarmiento,,,jannenson-sarmiento,J. Sarmiento,M,10,179.0,110,1466270,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800.0,"{'value': 480000, 'currency': 'EUR'}",,10,False,30.0,27.0,2.0,1.0,0.0,3.0,1.0,90.0,46.0,7.5,10.0,"{'original': 7.5, 'alternative': None}",1.0,,3.0,,1.0,1.0,,3.0,1.0,,,3.0,,,1.0,,3.0,,1.0,1.0,1.0,True,Unión Magdalena,away,,,
Freddy Molina,,,molina-freddy,F. Molina,D,18,,5,1512008,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,,,,18,False,17.0,13.0,2.0,1.0,0.0,4.0,1.0,81.0,26.0,6.4,8.0,"{'original': 6.4, 'alternative': None}",1.0,1.0,2.0,1.0,,,,,,1.0,1.0,,1.0,,2.0,,,,,,,,Unión Magdalena,away,,,
Cristian Sención,,,cristian-sencion,C. Sención,M,16,179.0,20,877404,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,822787200.0,"{'value': 290000, 'currency': 'EUR'}",,16,False,30.0,27.0,4.0,3.0,0.0,2.0,1.0,90.0,36.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,2.0,,1.0,,,,,,1.0,2.0,,,,,1.0,,1.0,,,,Unión Magdalena,away,,,
Óscar Barreto,,,oscar-barreto,Ó. Barreto,M,22,173.0,37,840530,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200.0,"{'value': 245000, 'currency': 'EUR'}",,22,False,15.0,12.0,4.0,2.0,0.0,2.0,,45.0,25.0,6.2,9.0,"{'original': 6.2, 'alternative': None}",,,3.0,,2.0,,,,,,1.0,,,,2.0,,1.0,,,,,,Unión Magdalena,away,,,
Ricardo Márquez,,,ricardo-marquez,R. Márquez,F,21,187.0,117,974046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600.0,"{'value': 245000, 'currency': 'EUR'}",,21,False,17.0,14.0,1.0,1.0,0.0,3.0,2.0,84.0,28.0,6.4,10.0,"{'original': 6.4, 'alternative': None}",,1.0,7.0,,3.0,,1.0,,,,1.0,2.0,1.0,,,,2.0,,,2.0,,,Unión Magdalena,away,,,
Juan José Tello,Juan José Tello,,juan-jose-tello,J. J. Tello,D,26,,11,1108713,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021593600.0,,,26,True,7.0,6.0,,,0.0,3.0,1.0,45.0,17.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",1.0,1.0,3.0,2.0,1.0,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,Unión Magdalena,away,,,
Ruyery Blanco,,,ruyery-blanco,R. Blanco,F,17,180.0,31,974049,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,912988800.0,"{'value': 230000, 'currency': 'EUR'}",,17,True,17.0,13.0,1.0,,0.0,4.0,3.0,45.0,27.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",,1.0,4.0,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,,,Unión Magdalena,away,,,
Daniel Mera,Daniel Mera,,daniel-mera,D. Mera,D,3,183.0,7,1470050,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945734400.0,"{'value': 245000, 'currency': 'EUR'}",,3,True,4.0,3.0,2.0,1.0,0.0,,,9.0,7.0,6.2,3.0,"{'original': 6.2, 'alternative': None}",,,1.0,,,,,,,,1.0,,,,,,,,,,,,Unión Magdalena,away,,,
Oscar Surmay,Oscar Surmay,,oscar-surmay,O. Surmay,,29,,5,2147377,{},EUR,,,,29,True,1.0,1.0,,,0.0,1.0,,9.0,2.0,6.7,,"{'original': 6.7, 'alternative': None}",,1.0,,,,,,1.0,,,,,,,,,,,,,,,Unión Magdalena,away,,,
Valentin Sanchez,Valentin Sanchez,,valentin-sanchez,V. Sanchez,M,8,,4,1390760,{},EUR,1012867200.0,,,8,True,3.0,2.0,,,0.0,,,12.0,4.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,1.0,,,,,,,,,,,Unión Magdalena,away,,,
Eduar Beltrán,Eduar Esteban,Beltrán Restrepo,eduar-esteban,E. Beltrán,G,1,,16,1175066,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,951004800.0,"{'value': 185000, 'currency': 'EUR'}",,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,,,
Kleber Díaz,Kleber Díaz,,kleber-diaz,K. Díaz,F,19,,3,2040668,{},EUR,1073952000.0,,,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,,,
