name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,height,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,totalContest,onTargetScoringAttempt,outfielderBlock,totalTackle,wasFouled,fouls,keyPass,wonContest,shotOffTarget,challengeLost,interceptionWon,dispossessed,blockedScoringAttempt,totalOffside,hitWoodwork,captain,team,teamType,fieldTranslations,totalKeeperSweeper,accurateKeeperSweeper
Eduar Beltrán,Eduar Esteban,Beltrán Restrepo,eduar-esteban,E. Beltrán,G,1,16,1175066,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,951004800.0,"{'value': 185000, 'currency': 'EUR'}",,1,False,15.0,14.0,4.0,3.0,0.0,1.0,1.0,2.0,2.0,3.0,90.0,22.0,7.4,1.0,"{'original': 7.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,
Daniel Mera,Daniel Mera,,daniel-mera,D. Mera,D,3,7,1470050,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945734400.0,"{'value': 245000, 'currency': 'EUR'}",183.0,3,False,38.0,33.0,4.0,1.0,0.0,,5.0,1.0,,,90.0,65.0,7.9,13.0,"{'original': 7.9, 'alternative': None}",8.0,3.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,,,,,,,,,,Unión Magdalena,home,,,
Óscar Vanegas,,,oscar-vanegas,Ó. Vanegas,D,33,28,1015630,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831427200.0,"{'value': 290000, 'currency': 'EUR'}",185.0,33,False,35.0,31.0,6.0,3.0,0.0,1.0,4.0,4.0,,,90.0,53.0,7.5,5.0,"{'original': 7.5, 'alternative': None}",,,1.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,2.0,,,,,,,,Unión Magdalena,home,,,
Martín Payares,,,martin-payares,M. Payares,D,5,14,818989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796262400.0,"{'value': 410000, 'currency': 'EUR'}",183.0,5,False,45.0,39.0,5.0,2.0,0.0,4.0,6.0,2.0,,,90.0,55.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",,,2.0,4.0,,,,2.0,,1.0,,,,1.0,3.0,,,,,,Unión Magdalena,home,,,
Dairon Mosquera,,,dairon-mosquera,D. Mosquera,D,30,31,834223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709257600.0,"{'value': 245000, 'currency': 'EUR'}",182.0,30,False,17.0,11.0,3.0,,0.0,,,1.0,,,45.0,24.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",,,,2.0,,,,,,1.0,,,,,1.0,1.0,,,,,Unión Magdalena,home,,,
Jannenson Sarmiento,,,jannenson-sarmiento,J. Sarmiento,M,10,110,1466270,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800.0,"{'value': 480000, 'currency': 'EUR'}",179.0,10,False,44.0,35.0,6.0,4.0,0.0,,,1.0,,,90.0,67.0,7.6,18.0,"{'original': 7.6, 'alternative': None}",13.0,6.0,2.0,4.0,1.0,1.0,,,,1.0,4.0,,2.0,,,,1.0,,,,Unión Magdalena,home,,,
Fabián Cantillo,,,fabian-cantillo,F. Cantillo,M,24,9,974035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400.0,"{'value': 390000, 'currency': 'EUR'}",184.0,24,False,66.0,54.0,6.0,6.0,0.0,,,2.0,,,90.0,80.0,7.1,16.0,"{'original': 7.1, 'alternative': None}",1.0,1.0,1.0,5.0,1.0,,1.0,,,1.0,2.0,,1.0,,,2.0,1.0,,,True,Unión Magdalena,home,,,
Juan Diego Giraldo,,,juan-diego-giraldo,J. D. Giraldo,M,20,4,873789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869356800.0,"{'value': 185000, 'currency': 'EUR'}",179.0,21,False,41.0,36.0,2.0,1.0,0.0,,3.0,,,,66.0,50.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",,,,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,Unión Magdalena,home,,,
Eric Krame,,,eric-krame,E. Krame,F,7,23,1472384,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,921456000.0,,,15,False,15.0,5.0,1.0,,0.0,1.0,2.0,,,,45.0,29.0,6.8,15.0,"{'original': 6.8, 'alternative': None}",4.0,1.0,2.0,5.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,Unión Magdalena,home,,,
Ruyery Blanco,,,ruyery-blanco,R. Blanco,F,17,31,974049,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,912988800.0,"{'value': 230000, 'currency': 'EUR'}",180.0,17,False,12.0,10.0,2.0,2.0,0.0,2.0,5.0,2.0,,,84.0,31.0,8.0,6.0,"{'original': 8, 'alternative': None}",2.0,,2.0,9.0,,3.0,,,3.0,5.0,3.0,,4.0,,,2.0,,1.0,,,Unión Magdalena,home,,,
Valentin Sanchez,Valentin Sanchez,,valentin-sanchez,V. Sanchez,M,8,4,1390760,{},EUR,1012867200.0,,,8,False,45.0,35.0,4.0,2.0,0.0,,5.0,,,,90.0,65.0,7.7,16.0,"{'original': 7.7, 'alternative': None}",2.0,1.0,,4.0,3.0,,,3.0,1.0,,4.0,1.0,3.0,1.0,,1.0,1.0,,1.0,,Unión Magdalena,home,,,
Dilan Ortiz,Dilan Ortiz,,dilan-ortiz,D. Ortiz,D,6,5,1388142,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1055548800.0,,,6,True,22.0,21.0,3.0,3.0,0.0,1.0,3.0,2.0,,,45.0,35.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",2.0,,1.0,3.0,,,,2.0,,1.0,,,,1.0,2.0,,,1.0,,,Unión Magdalena,home,,,
Franklin Navarro,,,franklin-navarro,F. Navarro,F,29,49,1387079,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,925344000.0,"{'value': 105000, 'currency': 'EUR'}",172.0,29,True,29.0,21.0,,,0.0,1.0,2.0,,,,45.0,39.0,6.9,14.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,1.0,3.0,1.0,,,1.0,,1.0,2.0,,,,,,1.0,,,,Unión Magdalena,home,,,
José Mercado,José Mercado,,jose-mercado,J. Mercado,M,28,21,1201151,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1061424000.0,"{'value': 165000, 'currency': 'EUR'}",,28,True,26.0,21.0,5.0,4.0,0.0,2.0,3.0,1.0,,,24.0,32.0,7.0,6.0,"{'original': 7, 'alternative': None}",,,,1.0,1.0,,,1.0,,,1.0,,1.0,,,,,,,,Unión Magdalena,home,,,
Orles Aragón,,,orles-aragon,O. Aragón,F,11,6,930209,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866246400.0,"{'value': 190000, 'currency': 'EUR'}",180.0,11,True,3.0,3.0,,,0.0,,,,,,13.0,6.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,Unión Magdalena,home,,,
Guillermo Gómez,Guillermo Gómez,,guillermo-gomez,G. Gómez,G,34,6,1174006,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835920000.0,"{'value': 105000, 'currency': 'EUR'}",187.0,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,
Jhoan Pinto,,,jhoan-pinto,J. Pinto,M,14,5,1831290,{},EUR,,,,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,
Janeth Aleman,,,janeth-aleman,J. Aleman,F,7,5,1901225,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1022198400.0,,,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,
Santiago Mele,,,santiago-mele,S. Mele,G,25,610,846421,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,873504000.0,"{'value': 2300000, 'currency': 'EUR'}",182.0,77,False,,,,,0.0,,,,,1.0,5.0,1.0,3.0,,"{'original': 3, 'alternative': None}",,,,1.0,,,,,,1.0,,,,,,,,,,,Junior Barranquilla,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. ميلي', 'hi': 'एस. मेले', 'bn': 'এস. মেলে'}}",,
Jhomier Guerrero,Jhomier Guerrero,,jhomier-guerrero,J. Guerrero,D,34,48,1441809,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985478400.0,"{'value': 485000, 'currency': 'EUR'}",170.0,34,False,19.0,14.0,4.0,1.0,0.0,2.0,10.0,3.0,,,90.0,53.0,7.3,13.0,"{'original': 7.3, 'alternative': None}",1.0,1.0,1.0,6.0,3.0,,,4.0,3.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,,,,Junior Barranquilla,away,,,
José Cuenú,José Cuenú,,jose-cuenu,J. Cuenú,D,4,28,1098309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792979200.0,"{'value': 495000, 'currency': 'EUR'}",192.0,4,False,15.0,9.0,5.0,2.0,0.0,3.0,3.0,7.0,,,90.0,26.0,7.1,6.0,"{'original': 7.1, 'alternative': None}",,,2.0,4.0,,,,,,2.0,1.0,,,,2.0,,,,,,Junior Barranquilla,away,,,
Christian Javier Báez,,,christian-javier-baez,C. J. Báez,D,66,122,136758,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,639619200.0,"{'value': 290000, 'currency': 'EUR'}",180.0,66,False,24.0,14.0,10.0,4.0,0.0,1.0,4.0,5.0,,,90.0,43.0,7.3,12.0,"{'original': 7.3, 'alternative': None}",,,1.0,2.0,,,2.0,1.0,2.0,1.0,,,,,2.0,,1.0,,,,Junior Barranquilla,away,,,
Daniel Rivera,Daniel Rivera,,daniel-rivera,D. Rivera,D,5,54,1174986,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,920160000.0,"{'value': 775000, 'currency': 'EUR'}",184.0,33,False,,,,,0.0,1.0,1.0,,,,8.0,1.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,,
Jhon Navia,Jhon Navia,,jhon-navia,J. Navia,D,26,29,1128891,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1059264000.0,"{'value': 340000, 'currency': 'EUR'}",180.0,26,False,8.0,5.0,3.0,,0.0,2.0,3.0,7.0,,,67.0,25.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,,,3.0,2.0,,1.0,,1.0,1.0,,,,,1.0,,,,,,Junior Barranquilla,away,,,
Didier Moreno,,,didier-moreno,D. Moreno,M,6,120,158585,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684892800.0,"{'value': 520000, 'currency': 'EUR'}",177.0,6,False,31.0,22.0,3.0,1.0,0.0,1.0,7.0,4.0,,,90.0,47.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",,,2.0,5.0,,1.0,1.0,3.0,3.0,,,,,1.0,,2.0,,1.0,,,Junior Barranquilla,away,,,
Jhon Velez,Jhon Velez,,jhon-velez,J. Velez,M,13,108,1174853,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1059091200.0,"{'value': 415000, 'currency': 'EUR'}",178.0,13,False,31.0,19.0,5.0,1.0,0.0,1.0,4.0,4.0,,,90.0,44.0,7.2,13.0,"{'original': 7.2, 'alternative': None}",1.0,,1.0,1.0,,1.0,,2.0,1.0,,,,,,3.0,,,,,,Junior Barranquilla,away,,,
Yimmi Chará,,,yimmi-chara,Y. Chará,M,8,400,248069,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,670550400.0,"{'value': 410000, 'currency': 'EUR'}",169.0,8,False,19.0,15.0,2.0,1.0,0.0,,2.0,1.0,,,67.0,32.0,7.0,9.0,"{'original': 7, 'alternative': None}",3.0,,,2.0,,,,1.0,1.0,,1.0,,1.0,,,2.0,2.0,,,,Junior Barranquilla,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. شارا', 'hi': 'वाई. चरा', 'bn': 'ওয়াই. চারা'}}",,
Carlos Bacca,,,carlos-bacca,C. Bacca,F,70,2209,106572,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,526521600.0,"{'value': 195000, 'currency': 'EUR'}",181.0,70,False,11.0,5.0,2.0,,0.0,1.0,2.0,1.0,,,45.0,13.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,,1.0,1.0,,,,,1.0,,2.0,,,,,,,,,True,Junior Barranquilla,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. باكا', 'hi': 'सी. बक्का', 'bn': 'সি. বাক্কা'}}",,
Steven Rodríguez,,,steven-rodriguez,S. Rodríguez,F,23,169,974308,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,908236800.0,"{'value': 460000, 'currency': 'EUR'}",177.0,23,False,13.0,8.0,1.0,1.0,0.0,,1.0,,,,60.0,25.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",,,,4.0,2.0,1.0,,,,,1.0,1.0,2.0,1.0,,2.0,1.0,,,,Junior Barranquilla,away,,,
Jefersson Martínez,,,jefferson-martinez,J. Martínez,G,30,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200.0,"{'value': 365000, 'currency': 'EUR'}",185.0,30,True,35.0,18.0,32.0,15.0,0.0,,,2.0,5.0,7.0,82.0,48.0,8.3,18.0,"{'original': 8.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,1.0,1.0
Guillermo Paiva,,,guillermo-paiva,G. Paiva,F,9,391,891851,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,871776000.0,"{'value': 850000, 'currency': 'EUR'}",182.0,9,True,22.0,19.0,3.0,3.0,0.0,1.0,1.0,,,,45.0,26.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,2.0,3.0,,,,,,,2.0,,,,,1.0,,,,,Junior Barranquilla,away,,,
Yani Quintero,,,yani-quintero,Yani Quintero,M,16,57,1000298,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013904000.0,"{'value': 425000, 'currency': 'EUR'}",182.0,16,True,11.0,8.0,2.0,1.0,0.0,,,2.0,,,30.0,16.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",1.0,,2.0,2.0,,,,,,,,,,,1.0,,,,,,Junior Barranquilla,away,,,
Jesús Díaz,Jesús Díaz,,jesus-diaz,J. Díaz,M,90,129,1174856,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1084492800.0,"{'value': 110000, 'currency': 'EUR'}",173.0,90,True,11.0,8.0,1.0,1.0,0.0,1.0,4.0,,,,23.0,20.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",2.0,1.0,,3.0,2.0,,,3.0,,,1.0,,,,,1.0,,,,,Junior Barranquilla,away,,,
José Enamorado,,,enamorado-jose,J. Enamorado,M,99,231,974558,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,916185600.0,"{'value': 1900000, 'currency': 'EUR'}",167.0,99,True,9.0,6.0,,,0.0,,5.0,,,,23.0,19.0,7.0,7.0,"{'original': 7, 'alternative': None}",,,1.0,2.0,3.0,,,1.0,2.0,,,2.0,,,,,,,,,Junior Barranquilla,away,,,
Bryan Castrillón,,,bryan-castrillon,B. Castrillón,F,88,161,954761,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922752000.0,"{'value': 485000, 'currency': 'EUR'}",169.0,88,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,,
Marco Pérez,,,marco-perez,M. Pérez,F,18,224,47244,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,653616000.0,"{'value': 195000, 'currency': 'EUR'}",185.0,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. بيريز', 'hi': 'एम. पेरेज़', 'bn': 'এম. পেরেজ'}}",,
